state_name,state_id,city,city_ascii,county_name,lat,lng,timezone,zips
# New York City - 5 boroughs have been manually modified in this dataset, keep this in mind.
New York,NY,"New York, New York",New York,New York County,40.7831,-73.9712,America/New_York,"10001 10002 10003 10004 10005 10006 10007 10009 10010 10011 10012 10013 10014 10016 10017 10018 10019 10020 10021 10022 10023 10024 10025 10026 10027 10028 10029 10030 10031 10032 10033 10034 10035 10036 10037 10038 10039 10040 10044 10065 10069 10075 10128 10280 10282"
New York,NY,"Brooklyn, New York",Brooklyn,Kings County,40.6782,-73.9442,America/New_York,"11201 11203 11204 11205 11206 11207 11208 11209 11210 11211 11212 11213 11214 11215 11216 11217 11218 11219 11220 11221 11222 11223 11224 11225 11226 11228 11229 11230 11231 11232 11233 11234 11235 11236 11237 11238 11239"
New York,NY,"Queens, New York",Queens,Queens County,40.7282,-73.7949,America/New_York,"11004 11005 11101 11102 11103 11104 11105 11106 11354 11355 11356 11357 11358 11360 11361 11362 11363 11364 11365 11366 11367 11368 11369 11370 11371 11372 11373 11374 11375 11377 11378 11379 11385 11411 11412 11413 11414 11415 11416 11417 11418 11419 11420 11421 11422 11423 11426 11427 11428 11429 11430 11432 11433 11434 11435 11436 11691 11692 11693 11694 11697"
New York,NY,"Bronx, New York",The Bronx,Bronx County,40.8448,-73.8648,America/New_York,"10451 10452 10453 10454 10455 10456 10457 10458 10459 10460 10461 10462 10463 10464 10465 10466 10467 10468 10469 10470 10471 10472 10473 10474 10475"
New York,NY,"Staten Island, New York",Staten Island,Richmond County,40.5795,-74.1502,America/New_York,"10301 10302 10303 10304 10305 10306 10307 10308 10309 10310 10312 10314"
Connecticut,CT,New Haven,New Haven,South Central Connecticut,41.3113,-72.9246,America/New_York,06519 06511 06510 06513 06512 06515 06501 06502 06503 06505 06506 06507 06508 06509 06520 06521 06530 06531 06532 06533 06534 06535 06536 06540
Georgia,GA,Atlanta,Atlanta,Fulton,33.7628,-84.422,America/New_York,30334 30331 30332 30309 30308 30354 30327 30322 30326 30324 30319 30342 30305 30307 30306 30316 30317 30314 30315 30312 30313 30310 30311 30303 30363 30318 30301 30302 30304 30321 30325 30333 30343 30348 30353 30355 30357 30361 30368 30369 30370 30371 30375 30377 30392 30394 30398 31106 31107 31126 31139 31141 31193
Pennsylvania,PA,Philadelphia,Philadelphia,Philadelphia,40.0077,-75.1339,America/New_York,19154 19151 19150 19153 19152 19102 19103 19106 19107 19104 19108 19109 19128 19129 19120 19121 19122 19123 19124 19125 19126 19127 19112 19111 19115 19114 19116 19119 19118 19148 19149 19146 19147 19144 19145 19142 19143 19140 19141 19139 19138 19137 19136 19135 19134 19133 19132 19131 19130 19019 19092 19093 19099 19101 19105 19110 19155 19160 19161 19162 19170 19171 19172 19173 19175 19176 19177 19178 19179 19181 19182 19183 19184 19185 19187 19188 19190 19191 19192 19193 19194 19195 19196 19197 19244 19255
Illinois,IL,Chicago,Chicago,Cook,41.8375,-87.6866,America/Chicago,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60827 60661 60660 60638 60639 60634 60636 60637 60630 60631 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60659 60652 60653 60656 60657 60654 60655 60651 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60499 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60684 60685 60686 60687 60688 60689 60690 60694 60695 60696 60699
